title,people
The Mask,"Amy Yasbeck, Anne Fletcher, Ben Stein, Cameron Diaz, Chuck Russell, Denis Forest, Jeremy Roberts, Jim Carrey, Jim Doughan, John R. Leonetti, Johnny Williams, Nancy Fish, Orestes Matacena, Peter Greene, Peter Riegert, Randy Edelman, Reg E. Cathey, Richard Jeni, Tim Bagley"
Big,"Allan Wasserman, Barry Sonnenfeld, David Moscow, Elizabeth Perkins, Erika Katz, Gary Howard Klar, Howard Shore, Jared Rushton, John Heard, Jon Lovitz, Josh Clark, Kimberlee M. Davis, Mark Ballou, Mercedes Ruehl, Oliver Block, Penny Marshall, Robert Loggia, Tom Hanks"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Alan Keyes, Andre Darnell Myers, Anthony Hardwick, Bob Barr, Carole De Saram, Chip Pickering, David Corcoran, Erran Baron Cohen, Jean-Pierre Parent, Ken Davitian, Larry Charles, Luenell, Luke Geissbuhler, Mitchell Falk, Pamela Anderson, Sacha Baron Cohen"
Legally Blonde,"Alanna Ubach, Ali Larter, Anthony B. Richmond, Bruce Thomas, Corinne Reilly, Greg Serano, Holland Taylor, Jennifer Coolidge, Jessica Cauffiel, Jodi Harris, John Cantwell, Lacey Beeman, Linda Cardellini, Luke Wilson, Matthew Davis, Meredith Scott Lynn, Oz Perkins, Raquel Welch, Reese Witherspoon, Robert Luketic, Rolfe Kent, Selma Blair, Victor Garber, Victoria Mahoney"
Star Trek III: The Search for Spock,"Carl Steven, Charles Correll, Christopher Lloyd, DeForest Kelley, George Takei, James Doohan, James Horner, James Sikking, Joe W. Davis, Judith Anderson, Leonard Nimoy, Mark Lenard, Merritt Butrick, Miguel Ferrer, Nichelle Nichols, Robin Curtis, Stephen Manley, Vadia Potenza, Walter Koenig, William Shatner"
The Exorcism of Emily Rose,"Andrew Wheeler, Campbell Scott, Colm Feore, Duncan Fraser, Henry Czerny, Iris Graham, Jennifer Carpenter, John Innes, Julian Christopher, Katie Keating, Kendelle Elliott, Kenneth Welsh, Laura Linney, Marilyn Norry, Mary Beth Hurt, Mary Black, Scott Derrickson, Shohreh Aghdashloo, Taylor Hill, Terence Kelly, Tom Stern, Tom Wilkinson"
Deuce Bigalow: Male Gigolo,"Amy Poehler, Andrew Shaifer, Arija Bareikis, Big Boy, Bree Turner, Deborah Lemen, Dina Platias, Eddie Griffin, Gail O'Grady, Jackie Sandler, Jacqueline Obradors, Mike Mitchell, Oded Fehr, Peter Lyons Collister, Richard Riehle, Rob Schneider, Torsten Voges, William Forsythe"
Left Behind,"Alec Rayme, Ashton Leigh, Candice Michele Barley, Cassi Thomson, Chad Michael Murray, Chelsea Bruland, Choppy Guillotte, Gary Grubbs, Georgina Rawlings, Han Soto, Hawn Tran, Heather Rene Hutson, Jack Green, Jerry B. Jenkins, Jordin Sparks, Judd Lormand, Kamryn Johnson, Lance E. Nichols, Lea Thompson, Lolo Jones, Major Dodson, Martin Klebba, Matthew Gatlin, Michael Baltazar, Nicky Whelan, Nicolas Cage, Quinton Aaron, Sabrina Gennarino, Shanna Forrestall, Stephanie Honoré, Tim LaHaye, Vic Armstrong, William Ragsdale"
The Family Stone,"Brian J. White, Claire Danes, Craig T. Nelson, Dermot Mulroney, Diane Keaton, Elizabeth Reaser, Jonathan Brown, Luke Wilson, Rachel McAdams, Sarah Jessica Parker, Thomas Bezucha, Tyrone Giordano"
Barbershop 2:  Back in Business,"Carl Wright, Cedric the Entertainer, DeRay Davis, Deon Cole, Don D. Scott, Eve, Garcelle Beauvais, Harry Lennix, Ice Cube, Jazsmin Lewis, Keke Palmer, Kenan Thompson, Kevin Rodney Sullivan, Leonard Earl Howze, Marcia Wright, Michael Ealy, Parvesh Cheena, Queen Latifah, Robert Wisdom, Sean Patrick Thomas, Tiffany L. Addison, Troy Garity"
Bad Santa,"Ajay Naidu, Alex Borstein, Alexandra Korhan, Bernie Mac, Billy Bob Thornton, Billy Gardell, Brett Kelly, Cloris Leachman, Curtis Taylor, David Kitay, Dylan Charles, Harrison Bieker, Jamie Anderson, John Ritter, Kerry Rossall, Lauren Graham, Lauren Tom, Lisa Ross, Lorna Scott, Octavia Spencer, Terry Zwigoff, Tony Cox"
Austin Powers: International Man of Mystery,"Afifi Alaouie, Anastasia Sakelaris, Carrie Fisher, Charles Napier, Christian Slater, Cindy Margolis, Clint Howard, Cynthia Lamontagne, Donna W. Scott, Elizabeth Hurley, Elya Baskin, Fabiana Udenio, George S. Clinton, Jay Roach, Joann Richter, Joe Grisaffi, Joe Son, Larry Thomas, Michael York, Mike Myers, Mimi Rogers, Mindy Sterling, Monet Mazur, Paul Dillon, Peter Deming, Robert Wagner, Seth Green, Tom Arnold, Will Ferrell"
My Big Fat Greek Wedding 2,"Alec Stockwell, Alex Wolff, Andrea Martin, Aniela Kurylo, Ashleigh Rains, Chrissy Paraskevopoulos, Christopher D. Lindsay, Constantine Vardalos, Dave Reachill, Elena Kampouris, Ethan Pugiotto, Gerry Mendicino, Gia Carides, Harper Gunn, Hershel Blatt, Ian Gomez, Jeff White, John Corbett, John Stamos, Julia Gartha, Kathryn Greenwood, Kathryn Haggis, Kirk Jones, Kolton Stewart, Lainie Kazan, Lauren Saarimaki, Louis Mandylor, Maria Vacratsis, Maxillian Grimm, Michael Constantine, Nia Vardalos, Peter Tharos, Rita Wilson, Robert Bellissimo, Roger Wong, Sam Moses, Tannis Burnett, Teresa Pavlinek, Theodore Paraskevopoulos"
Diary of a Wimpy Kid: Rodrick Rules,"Alf Humphreys, Andrew McNee, Belita Moreno, Connor Fielding, David Bowers, Devon Bostick, Fran Kranz, Grayson Russell, Jakob Davies, Karan Brar, Laine MacNeil, Owen Fielding, Peyton List, Rachael Harris, Robert Capron, Spencer Drever, Steve Zahn, Terence Kelly, Teryl Rothery, Zachary Gordon"
Predator,"Alan Silvestri, Arnold Schwarzenegger, Beau Marks, Bill Duke, Carl Weathers, Donald McAlpine, Elpidia Carrillo, Jesse Ventura, John McTiernan, Kevin Peter Hall, R. G. Armstrong, Richard Chaves, Shane Black, Sonny Landham, Sven-Ole Thorsen"
Amadeus,"Alexander Oliver, Anne Howells, Barbara Bryne, Brian Pettifer, Charles Kay, Christine Ebersole, Cynthia Nixon, Dana Vávrová, Douglas Seale, Elizabeth Berridge, F. Murray Abraham, Felicity Lott, Hana Brejchová, Herman Meckler, Isobel Buchanan, Ivan Pokorný, Jan Kuželka, Jan Pohan, Jeffrey Jones, Jitka Molavcová, Jiří Krytinář, Jiří Lír, John Carrafa, John Strauss, John Tomlinson, Jonathan Moore, June Anderson, Karel Effa, Karel Fiala, Karel Gult, Karel Hábl, Karl-Heinz Teuber, Kenny Baker, Ladislav Krečmer, Lisbeth Bartlett, Martin Cavina, Michael Hausman, Michele Esposito, Milan Demjanenko, Milan Riehs, Miloš Forman, Miriam Chytilová, Miro Grisa, Miroslav Ondříček, Nicholas Kepros, Patrick Hines, Pavel Nový, Peter DiGesu, Philip Lenkowsky, René Gabzdyl, Richard Frank, Richard Stilwell, Robin Leggate, Roderick Cook, Roy Dotrice, Samuel Ramey, Simon Callow, Therese Herz, Tom Hulce, Vincent Schiavelli, Vladimír Svitáček, Willard White, Zdeněk Mahler"
Prom Night,"Allison Kyler, Brianne Davis, Brittany Snow, Checco Varese, Collins Pennie, Craig Susser, Dana Davis, Idris Elba, James Ransone, Jana Kramer, Jay Phillips, Jessalyn Gilsig, Jessica Stroup, Johnathon Schaech, Joshua Leonard, Kellan Lutz, Kelly Blatz, Linden Ashby, Lori Heuring, Mary Mara, Ming-Na Wen, Nelson McCormick, Paul Haslinger, Rachel Specter, Scott Porter, Valeri Ross"
Mean Girls,"Alexandra Stapley, Alisha Morrison, Amanda Seyfried, Amy Poehler, Ana Gasteyer, Clare Preuss, Dan Willmott, Daniel DeSanto, Daniel Franzese, Danielle Nguyen, Daryn Okada, David Reale, Diego Klattenhoff, Dwayne Hill, Erin Thompson, Jan Caruana, Jill Morrison, Jo Chim, Jonathan Bennett, Jonathan Malen, Julia Chantrey, Krysta Carter, Ky Pham, Lacey Chabert, Laura de Carteret, Lindsay Lohan, Lizzy Caplan, Mark Waters, Miranda Edwards, Molly Shanahan, Neil Flynn, Nicole Crimi, Olympia Lukis, Rachel McAdams, Rajiv Surendra, Rolfe Kent, Sharron Matthews, Stefanie Drummond, Tim Meadows, Tina Fey, Wai Choy"
Under the Tuscan Sun,"Anita Zagaria, Audrey Wells, Christophe Beck, Claudia Gerini, Diane Lane, Evelina Gori, Geoffrey Rivas, Geoffrey Simpson, Giulia Steigerwalt, Kate Walsh, Lindsay Duncan, Mario Monicelli, Massimo Sarchielli, Pawel Szajda, Raoul Bova, Roberto Nobile, Sandra Oh, Sasa Vulicevic, Sean Kaplan, Valentine Pelka, Vincent Riotta"
Gosford Park,"Adrian Scarborough, Alan Bates, Andrew Dunn, Bob Balaban, Camilla Rutherford, Charles Dance, Claudie Blakley, Clive Owen, Derek Jacobi, Eileen Atkins, Emily Watson, Frances Low, Geraldine Somerville, Helen Mirren, James Wilby, Jeremy Northam, Jeremy Swift, Kelly Macdonald, Kristin Scott Thomas, Laurence Fox, Lucy Cohu, Maggie Smith, Michael Gambon, Natasha Wightman, Patrick Doyle, Richard E. Grant, Robert Altman, Ryan Phillippe, Sophie Thompson, Stephen Fry, Teresa Churcher, Tom Hollander, Trent Ford"
Peggy Sue Got Married,"Barbara Harris, Barry Miller, Catherine Hicks, Don Murray, Francis Ford Coppola, Glenn Withrow, Helen Hunt, Jim Carrey, Joan Allen, John Barry, Jordan Cronenweth, Kathleen Turner, Kevin J. O'Connor, Leon Ames, Lisa Jane Persky, Lucinda Jenney, Maureen O'Sullivan, Nicolas Cage, Sofia Coppola, Wil Shriner"
Birdman,"Akira Ito, Alejandro González Iñárritu, Amy Ryan, Andrea Riseborough, Anna Hardwick, Antonio Sánchez, Bill Camp, Brent Bateman, Catherine Peppers, Chris Shriver, Clark Middleton, Craig muMs Grant, Damian Young, Dave Neal, David Fierro, David Meyer, Donna Lynne Champlin, Dusan Dukic, Ebrahim Jaffer, Edward Norton, Emma Stone, Emmanuel Lubezki, Frank Ridley, Glenn Wein, Helena-Alexis Seymour, Hudson Flynn, Ian Finlay, Jackie Hoffman, Jamahl Garrison-Lowe, Janis Corsair, Jeremy Shamos, Joel Garland, Katherine O'Sullivan, Keenan Shimizu, Kelly Southerland, Kenny Chin, Kyle Knauf, Lindsay Duncan, Malachi Weir, Merritt Wever, Michael Keaton, Michael Siberry, Naomi Watts, Natalie Gold, Paula Pell, Rain Noe, Rakesh G. Shah, Roberta Colindrez, Stephen Adly Guirgis, Susan Blackwell, Taylor Schwencke, Valentino Musumeci, Warren Kelley, William Youmans, Zach Galifianakis"
Blue Jasmine,"Alden Ehrenreich, Alec Baldwin, Ali Fedotowsky, Andrew Dice Clay, Bobby Cannavale, Cate Blanchett, Charlie Tahan, Daniel Jenks, Javier Aguirresarobe, Louis C.K., Martin Cantu, Max Casella, Max Rutherford, Michael Stuhlbarg, Peter Sarsgaard, Sally Hawkins, Tammy Blanchard, Woody Allen"
United 93,"Alan Gilmore, Barry Ackroyd, Christian Clemenson, Daniel Sauli, David Alan Basche, Denny Dillon, Gary Commock, J.J. Johnson, John Powell, Kate Jennings Grant, Khalid Abdalla, Liza Colón-Zayas, Lorna Dallas, Marceline Hugot, Mike Eley, Nancy McDoniel, Olivia Thirlby, Opal Alladin, Paul Greengrass, Peter Hermann, Polly Adams, Ray Charleson, Richard Bekins, Sean Bobbitt, Starla Benford, Susan Blommaert, Tara Hugo, Tom O'Rourke, Trieste Kelly Dunn, Trish Gates"
Honey,"Alison Sealy-Smith, Anthony Sherwood, Bille Woodruff, Brandi Ward, David Moscow, Fonzworth Bentley, Jessica Alba, John R. Leonetti, Joy Bryant, Judi Embden, Jull Weber, Kevin Duhaney, Laurieann Gibson, Lonette McKee, Maestro, Mekhi Phifer, Mervyn Warren, Missy Elliott, Romeo Miller, Sarah Francis, Scott Neil, Shawn Desman, Tracy Dawson, Zachary Isaiah Williams"
Spy Hard,"""Weird Al"" Yankovic, Alex Trebek, Alexandra Paul, Andy Griffith, Barry Bostwick, Bill Conti, Carl Ciarfalio, Carlos Lauchu, Charles Durning, Clyde Kusatsu, Curtis Armstrong, Diane Klimaszewski, Eddie Deezen, Elaine Klimaszewski, Elizabeth Kaitan, Elya Baskin, Esau McKnight, Fabio, Hulk Hogan, John Ales, John Kassir, John R. Leonetti, Joyce Brothers, Keith Campbell, Leslie Nielsen, Marcia Gay Harden, Mason Gamble, Michael Berryman, Mr. T, Nicollette Sheridan, Pat Morita, Ray Charles, Rick Cramer, Rick Friedberg, Robert Culp, Robert Guillaume, Roger Clinton, Jr., Stephanie Romanov, Talisa Soto, Taylor Negron, Tina Arning"
The Fog,"Adrienne Barbeau, Charles Cyphers, Darrow Igus, Dean Cundey, George Buck Flower, Hal Holbrook, James Canning, Jamie Lee Curtis, Janet Leigh, Jim Haynie, John Carpenter, John F. Goff, John Houseman, Nancy Kyes, Randy Moore, Regina Waldon, Tom Atkins, Ty Mitchell"
Soul Surfer,"Alana Blanchard, AnnaSophia Robb, Bethany Hamilton, Branscombe Richmond, Carrie Underwood, Chris Brochu, Cody Gomes, Craig T. Nelson, Dennis Quaid, Helen Hunt, Jeremy Sumter, Kevin Sorbo, Lorraine Nicholson, Ross Thomas, Sean McNamara, Sonya Balmores Chung"
Catch-22,"Alan Arkin, Anthony Perkins, Art Garfunkel, Austin Pendleton, Bob Balaban, Bob Newhart, Bruce Kirby, Buck Henry, Charles Grodin, David Watkin, Edward Teets, Jack Gilford, Jack Riley, Jon Voight, Martin Balsam, Martin Sheen, Mike Nichols, Norman Fell, Orson Welles, Paula Prentiss, Peter Bonerz, Richard Benjamin, Susanne Benton"
Observe and Report,"Alston Brown, Amy Baklini, Anna Faris, Aziz Ansari, Ben Best, Celia Weston, Cody Midthunder, Collette Wolfe, Dan Bakkedahl, Danny McBride, David House, Debra-Jayne Brown, Eddie Rouse, Fran Martone, Jesse Plemons, Jody Hill, John Yuan, Lauren Miller, Matt Yuan, Michael Peña, Patton Oswalt, Randy Gambill, Ray Liotta, Seth Rogen, Tim Orr, William Sterchi"
Conan the Destroyer,"André the Giant, Arnold Schwarzenegger, Basil Poledouris, Grace Jones, Jack Cardiff, Jeff Corey, Mako, Olivia d'Abo, Pat Roach, Richard Fleischer, Sarah Douglas, Sven-Ole Thorsen, Tracey Walter, Wilt Chamberlain"
Raging Bull,"Allan Wertheim, Allen Joseph, Angelo Lamonea, Bernie Allen, Candy Moore, Cathy Moriarty, Charles Guardino, Charles Scorsese, Chuck Hicks, Coley Wallace, Daniel P. Conte, Dennis O'Neill, Elie Cohn, Frank Adonis, Frank Vincent, Fred Dennis, Gene LeBell, Geraldine Smith, Gil Perkins, Harvey Parry, Jack Lotz, Jerry Grandey, Jerry Schram, Jimmy Williams, Joan Van Horn, Joe Pesci, John Turturro, Joseph Bono, Kevin Breslin, Mardik Martin, Mario Gallo, Martin Scorsese, Marty Farrell, McKenzie Westmore, Michael Badalucco, Michael Chapman, Michael Charles Hill, Nicholas Colasanto, Peter Savage, R. Michael Givens, Richard McMurray, Rita Bennett, Robert Dahdah, Robert De Niro, Shay Duffin, Theresa Saldana, Tony Lip, Victor Magnotta, Vincent Barbi, Vincent Di Paolo, Wally K. Berns, Walt La Rue"
Love Happens,"Aaron Eckhart, Anne Marie DeLuise, Brandon Camp, Christopher Young, Clyde Kusatsu, Dan Fogler, Deirdre Blades, Elfina Luk, Eric Alan Edwards, Frances Conroy, Jennifer Aniston, Joe Anderson, John Carroll Lynch, Judy Greer, Martin Sheen, Michael Kopsa, Mike Thompson, Panou, Sasha Alexander, Tyler McClendon"
Young Sherlock Holmes,"Alan Cox, Anthony Higgins, Barry Levinson, Bruce Broughton, Earl Rhodes, Matthew Ryan, Nicholas Rowe, Sophie Ward, Stephen Goldblatt, Susan Fleetwood"
Fame,"Anna Maria Perez de Tagle, Asher Book, Christopher Gore, Kay Panabaker, Kevin Tancharoen, Kherington Payne, Krystal Ellsworth, Megan Mullally, Naturi Naughton, Scott Kevan, Walter Perez"
127 Hours,"A. R. Rahman, Amber Tamblyn, Anthony Dod Mantle, Aron Ralston, Bailee Michelle Johnson, Brad Johnson, Clémence Poésy, Danny Boyle, Darin Southam, Elizabeth Hales, Enrique Chediak, Fenton Quinn, Heather Toone, James Franco, John Lawrence, Johnny Ahn, Kate Burton, Kate Mara, Kelsie Mathews, Koleman Stinger, Kyle Paul, Lizzy Caplan, Lonzo Liggins, Norman Lehnert, Parker Hadley, Peter Joshua Hull, Pieter Jan Brugge, Priscilla Poland, Rebecca C. Olson, Robert Bear, Samantha Marsden, Sean Bott, Terry S. Mercer, Treat Williams"
Small Time Crooks,"Bill Gerber, Brian Markinson, Carolyn Saxon, Cindy Carver, Crystal Field, Dana Tyler, Diane Bradley, Elaine May, Fanda Nikic, Hugh Grant, Jon Lovitz, Laurine Towler, Lawrence Howard Levy, Michael Rapaport, Olivia Hayman, Ray Garvey, Sam Josepher, Steve Kroft, Tony Darrow, Tracey Ullman, Woody Allen, Zhao Fei"
Center Stage,"Amanda Schull, Nicholas Hytner, Peter Gallagher, Scottie Thompson, Susan May Pratt, Zoe Saldana"
Love the Coopers,"Alan Arkin, Alex Borstein, Amanda Seyfried, Anthony Mackie, Diane Keaton, Ed Helms, Jake Lacy, Jessie Nelson, John Goodman, Jon Tenney, June Squibb, Marisa Tomei, Michelle Veintimilla, Olivia Wilde, Steve Martin, Timothée Chalamet"
Catch That Kid,"Audrey Wasilewski, Bart Freundlich, Chelsea Bond, Christine Estabrook, Claudia DiFolco, Corbin Bleu, Daniel Dotterer, Dawn Lewis, Elizabeth Decker, Francois Giroday, Franklin Dennis Jones, Gianina Sbardellati, Grant Hayden Scott, James Le Gros, James Sbardellati, Jennifer Beals, Jerry Penacoli, John Carroll Lynch, Julio Macat, Kane Ritchotte, Kevin G. Schmidt, Kristen Kerr, Kristen Stewart, Lennie Loftin, Linus Merwin, Lucy Butler, Marcus Hester, Maria Quiban, Max Thieriot, Meagen Fay, Michael Des Barres, Patrick Stinson, Peter Merwin, Robert Harvey, Sam Robards, Shane Avery Scott, Stark Sands, Todd M. Hofacker"
Life as a House,"Hayden Christensen, Ian Somerhalder, Irwin Winkler, Jena Malone, Kevin Kline, Kristin Scott Thomas, Mark Isham, Mary Steenburgen, Sam Robards, Sandra Nelson, Scott Bakula, Vilmos Zsigmond"
Steve Jobs,"Aaron Sorkin, Adam Shapiro, Alwin H. Kuchler, Apeksha Pradhan, Daniel Pemberton, Danny Boyle, Diogo Hausen, Jeff Daniels, John Ortiz, John Steen, Kate Winslet, Katherine Waterston, Lana Palmer, Luke Freeborn, Makenzie Moss, Michael Fassbender, Michael Stuhlbarg, Mihran Slougian, Perla Haney-Jardine, Ripley Sobo, Sarah Snook, Seth Rogen, Stan Roth, Steven Wiig"
"I Love You, Beth Cooper","Alan Ruck, Andrea Savage, Anja Savcic, Anna Mae Routledge, Brendan Penny, Chris Columbus, Christophe Beck, Cynthia Stevenson, Hayden Panettiere, Jack Carpenter, Jared Keeso, Josh Emerson, Lauren London, Lauren Storm, Marie Avgeropoulos, Pat Finn, Paul Rust, Phil Abraham, Shawn Roberts, Violet Columbus"
Youth in Revolt,"Adhir Kalyan, Ari Graynor, Chuy Chávez, Erik Knudsen, Fred Willard, Jade Fusco, Jonathan B. Wright, Justin Long, Lise Lacasse, M. Emmet Walsh, Mary Kay Place, Michael Cera, Miguel Arteta, Portia Doubleday, Ray Liotta, Rooney Mara, Steve Buscemi, Zach Galifianakis"
The Legend of the Lone Ranger,"Bonita Granville, Christopher Lloyd, David Hayward, Jason Robards, John Bennett Perry, John Hart, Juanin Clay, Klinton Spilsbury, Lincoln Tate, Marc Gilpin, Matt Clark, Michael Horse, Richard Farnsworth, Ted Flicker, William A. Fraker"
The Tailor of Panama,"Brendan Gleeson, Catherine McCormack, Daniel Radcliffe, Dylan Baker, Geoffrey Rush, Harold Pinter, Jamie Lee Curtis, John Boorman, Jon Polito, Jonathan Hyde, Leonor Varela, Lola Boorman, Mark Margolis, Martin Ferrero, Philippe Rousselot, Pierce Brosnan, Sarah Hauldren, Stephen Daly"
Blow Out,"Barbara Sigel, Brian De Palma, Curt May, David DeFelice, Deborah Everton, Dennis Franz, J. Patrick McNamara, John Aquino, John Lithgow, John McMartin, John Travolta, Lori-Nan Engler, Missy Cleveland, Missy Crutchfield, Nancy Allen, Peter Boyden, Pino Donaggio, Roberto Lombardi, Roger Wilson, Vilmos Zsigmond"
Getaway,"Bruce Payne, Courtney Solomon, Dejan Angelov, Dimo Alexiev, Esteban Cueto, Ethan Hawke, Gregg Maxwell Parker, Ivaylo Geraskov, Jon Voight, Justin Caine Burnett, Paul Freeman, Peewee Piemonte, Rebecca Budig, Sean Finegan, Selena Gomez, Velislav Pavlov, Yaron Levy"
The Ice Storm,"Adam Hann-Byrd, Ang Lee, Christina Ricci, Colleen Camp, David Krumholtz, Elijah Wood, Frederick Elmes, Henry Czerny, James Schamus, Jamey Sheridan, Joan Allen, Kate Burton, Katie Holmes, Kevin Kline, Maia Danziger, Michael Cumpsty, Rick Moody, Sigourney Weaver, Tobey Maguire, William Cain"
And So It Goes,"Albert Jones, Alvin Crawford, Amirah Vann, Andy Karl, Annie Parisse, Austin Lysy, Barbara Vincent, Dave Leitch, David Aaron Baker, Diane Keaton, Frances Sternhagen, Frankie Valli, Johnny Tran, Judy Wong, Kerry Flanagan, Luis Augusto Figueroa, Luke Robertson, Marc Shaiman, Markley Rizzi, Mary Rasmussen, Maurice Jones, Maxwell Simkins, Meryl Williams, Michael Douglas, Michael Terra, Mina Mirkhah, Paloma Guzmán, Reed Morano, Rob Reiner, Rosemary Howard, Sawyer Tanner Simpkins, Scott Shepherd, Sterling Jerins, Theo Stockman, Yaya DaCosta"
Troop Beverly Hills,"Ami Foster, Betty Thomas, Carla Gugino, Craig T. Nelson, Donald E. Thorin, Emily Schulman, Jeff Kanew, Jenny Lewis, Kareem Abdul-Jabbar, Karen Kopins, Kellie Martin, Margaret Oberman, Mary Gross, Pamela Norris, Ramon Sison, Randy Edelman, Shelley Long"
Being Julia,"Annette Bening, Bruce Greenwood, István Szabó, Jeremy Irons, Juliet Stevenson, Leigh Lawson, Lucy Punch, Marsha Fitzalan, Maury Chaykin, Max Irons, Michael Culkin, Michael Gambon, Miriam Margolyes, Rita Tushingham, Rosemary Harris, Shaun Evans, Sheila McCarthy, Teresa Churcher, Tom Sturridge"
Nine 1/2 Weeks,"Adrian Lyne, Christine Baranski, David Margulies, Dwight Weist, Justine Johnston, Karen Young, Kim Basinger, Margaret Whitton, Mickey Rourke, Peter Biziou, Roderick Cook, Victor Truro"
Dragonslayer,"Albert Salmi, Alex North, Caitlin Clarke, Chloe Salaman, Derek Vanlint, Douglas Cooper, Emrys James, Ian McDiarmid, Jason White, John Hallam, Ken Shorter, Matthew Robbins, Peter Eyre, Peter MacNicol, Ralph Richardson, Roger Kemp, Sydney Bromley, Yolande Palfrey"
The Last Station,"Anne-Marie Duff, Christopher Plummer, David Masterson, Helen Mirren, James McAvoy, John Sessions, Kerry Condon, Michael Hoffman, Patrick Kennedy, Paul Giamatti, Tomas Spencer"
Ed Wood,"Ada Tai, Adam Drescher, Anthony Russell, Arlene Tai, Ben Ryan Ganger, Biff Yeager, Bill Cusack, Bill Murray, Bobby Slayton, Brent Hinkley, Carmen Filpi, Catherine Butterfield, Charles C. Stevenson Jr., Charlie Holliday, Clive Rosengren, Conrad Brooks, Daniel Riordan, Danny Dayton, Don Amendolia, Don Hood, Edmund L. Shaff, G. D. Spradlin, Gene LeBell, George Steele 'The animal', Gregory Kent Simmons, Gregory Walcott, Gretchen Becker, Howard Shore, Jeffrey Jones, Jesse Hernandez, Jim Boyce, John Rice, Johnny Depp, Joseph R. Gannascoli, Juliet Landau, King Cotton, Korla Pandit, Lena Banks, Leonard Termo, Lionel Decker, Lisa Malkiewicz, Lisa Marie, Louis Lombardi, Martin Landau, Mary Portser, Matthew Barry, Maurice LaMarche, Max Casella, Melora Walters, Mickey Cottrell, Mike Starr, Mike Topoozian, Ned Bellamy, Norman Alden, Patricia Arquette, Patti Tippo, Ralph Monaco, Ralph Moratz, Rance Howard, Ray Baker, Rayder Woods, Reid Cruickshanks, Ric Mancini, Ross Manarchy, Sarah Jessica Parker, Stanley DeSantis, Stefan Czapsky, Tim Burton, Tommy Bertelsen, Vasek Simek, Vincent D'Onofrio, Vinny Argiro, William James Myers"
Labor Day,"Alex East, Alexie Gilmore, Brighid Fleming, Brooke Smith, Clark Gregg, Dylan Minnette, Elena Kampouris, Eric Steelberg, Gattlin Griffith, Greg Nutcher, J.K. Simmons, James Van Der Beek, Jason Reitman, Josh Brolin, Kate Winslet, Lucas Hedges, Maika Monroe, Matthew Rauch, Micah Fowler, Tobey Maguire, Tom Lipinski"
Mongol: The Rise of Genghis Khan,"Aliya, Amadu Mamadakov, Amarbold Tuvshinbayar, Ba De Rong Gui, Ba Sen, Ba Te, Ba Ti, Ba Yin Qi Qi Ge, Bao Di, Bayertsetseg Erdenebat, Ben Hon Sun, Bu Ren, Deng Ba Te Er, He Qi, Huntun Batu, Ji Ri Mu Tu, Jing Tao Zhao, Khulan Chuluun, Li Jia Qi, Odnyam Odsuren, Rogier Stoffers, Sai Xing Ga, Sergei Bodrov, Sergey Trofimov, Su Ya La Su Rong, Sun Honglei, Tadanobu Asano, Tegen Ao, Tunga, Tuomas Kantelinen, You Er, Zhang Jiong, Zhang Xiao Ming"
RockNRolla,"Andy Nicholson, Charlotte Armer, David Higgs, Gemma Arterton, Geoff Bell, Gerard Butler, Guy Ritchie, Idris Elba, Jamie Campbell Bower, Jeremy Piven, Jimi Mistry, Karel Roden, Ludacris, Mark Strong, Matt King, Nonso Anozie, Steve Isles, Thandie Newton, Toby Kebbell, Tom Hardy, Tom Wilkinson"
Megaforce,"Anthony Pena, Barry Bostwick, Bobby Bass, Edward Mulhare, Evan C. Kim, George Furth, Hal Needham, Henry Silva, J. Víctor López, Jerrold Immel, Michael Beck, Michael C. Butler, Michael Carven, Mike Kulcsar, Persis Khambatta, Ralph Wilcox"
Hamlet,"Alex Thomson, Andrew Schofield, Billy Crystal, Brian Blessed, Charlton Heston, Derek Jacobi, Don Warrington, Gérard Depardieu, Ian McElhinney, Jack Lemmon, John Gielgud, John Mills, Judi Dench, Julie Christie, Kate Winslet, Ken Dodd, Kenneth Branagh, Michael Maloney, Nicholas Farrell, Patrick Doyle, Perdita Weeks, Ravil Isyanov, Ray Fearon, Reece Dinsdale, Richard Attenborough, Richard Briers, Robin Williams, Rosemary Harris, Rufus Sewell, Simon Russell Beale, Timothy Spall"
Mao's Last Dancer,"Aden Young, Amanda Schull, Bruce Beresford, Bruce Greenwood, Camilla Vergotis, Chengwu Guo, Chi Cao, Jack Thompson, Joan Chen, Kyle MacLachlan, Madeleine Eastoe, Shuangbao Wang, Steven Heathcote, Wen Bin Huang"
Midnight Special,"Adam Driver, Adam Stone, Alexander Eldimiati, Allison King, Ann Mahoney, Bill Camp, Billy Slaughter, D'Arcy Allen, Dana Gourrier, Dane Rhodes, David Jensen, Garrett Hines, Jaeden Lieberher, James DuMont, James Moses Black, Jeff Nichols, Joel Edgerton, John L. Armijo, Jonathan Guggenheim, Kerry Cahill, Kirsten Dunst, Lee Zurik, Lucy Faust, Lynn Berry, Maureen Brennan, Michael Shannon, Michelle Benet, Nancy Grace, Nicondra Norwood, Paul Sparks, Sam Malone, Sam Shepard, Scott Haze, Sean Bridgers, Sean Kaplan, Sharon Garrison, Sharon Landry, Wayne Pére, Yvonne Landry"
